dt_pos,dt_angle,dt,t,v
112, 0.131948, 0.005322, 0.464762, 24.7928
117, 0.137837, 0.005356, 0.470118, 25.7351
111, 0.130769, 0.005374, 0.475492, 24.3336
111, 0.130769, 0.005306, 0.480798, 24.6455
114, 0.134303, 0.005349, 0.486147, 25.1081
115, 0.135481, 0.00535, 0.491497, 25.3235
115, 0.135481, 0.005302, 0.496799, 25.5528
119, 0.140194, 0.00532, 0.502119, 26.3522
118, 0.139015, 0.00536, 0.507479, 25.9357
110, 0.129591, 0.00534, 0.512819, 24.268
110, 0.129591, 0.005389, 0.518208, 24.0473
114, 0.134303, 0.005316, 0.523524, 25.2639
120, 0.141372, 0.005546, 0.52907, 25.4908
118, 0.139015, 0.005352, 0.534422, 25.9744
115, 0.135481, 0.00534, 0.539762, 25.371
113, 0.133125, 0.005316, 0.545078, 25.0424
111, 0.130769, 0.00535, 0.550428, 24.4428
116, 0.13666, 0.005321, 0.555749, 25.6831
114, 0.134303, 0.005333, 0.561082, 25.1834
113, 0.133124, 0.005334, 0.566416, 24.9577
117, 0.137837, 0.005353, 0.571769, 25.7496
117, 0.137837, 0.005391, 0.57716, 25.5681
114, 0.134303, 0.005343, 0.582503, 25.1363
111, 0.130769, 0.005281, 0.587784, 24.7621
110, 0.129591, 0.005336, 0.59312, 24.2862
112, 0.131947, 0.005343, 0.598463, 24.6952
117, 0.137837, 0.005314, 0.603777, 25.9385
114, 0.134303, 0.005305, 0.609082, 25.3163
115, 0.135482, 0.005323, 0.614405, 25.4522
115, 0.135481, 0.005301, 0.619706, 25.5576
110, 0.129591, 0.00531, 0.625016, 24.4051
151, 0.177893, 0.007345, 0.632361, 24.2196
128, 0.150796, 0.006009, 0.63837, 25.095
116, 0.13666, 0.005358, 0.643728, 25.5057
110, 0.12959, 0.005291, 0.649019, 24.4925
111, 0.130769, 0.005301, 0.65432, 24.6687
115, 0.135482, 0.005296, 0.659616, 25.5819
127, 0.149618, 0.00609, 0.665706, 24.5678
111, 0.130769, 0.005317, 0.671023, 24.5945
118, 0.139015, 0.005325, 0.676348, 26.1061
117, 0.137837, 0.005273, 0.681621, 26.1402
110, 0.129591, 0.005299, 0.68692, 24.4557
112, 0.131947, 0.005381, 0.692301, 24.5208
110, 0.129591, 0.005289, 0.69759, 24.502
110, 0.129591, 0.005291, 0.702881, 24.4927
112, 0.131947, 0.005316, 0.708197, 24.8206
115, 0.135481, 0.005316, 0.713513, 25.4855
116, 0.13666, 0.005305, 0.718818, 25.7605
112, 0.131947, 0.005282, 0.7241, 24.9804
113, 0.133125, 0.005333, 0.729433, 24.9626
112, 0.131947, 0.00529, 0.734723, 24.9426
113, 0.133125, 0.00529, 0.740013, 25.1655
117, 0.137836, 0.005342, 0.745355, 25.8024
113, 0.133125, 0.005267, 0.750622, 25.2754
116, 0.13666, 0.005289, 0.755911, 25.8385
112, 0.131947, 0.005287, 0.761198, 24.9568
109, 0.128412, 0.005336, 0.766534, 24.0653
112, 0.131948, 0.005275, 0.771809, 25.0139
116, 0.136658, 0.005282, 0.777091, 25.8723
113, 0.133125, 0.005286, 0.782377, 25.1845
104, 0.122522, 0.005288, 0.787665, 23.1699
115, 0.135481, 0.005282, 0.792947, 25.6495
121, 0.14255, 0.005297, 0.798244, 26.9114
115, 0.135483, 0.005328, 0.803572, 25.4285
112, 0.131947, 0.005287, 0.808859, 24.9568
115, 0.135481, 0.005273, 0.814132, 25.6933
113, 0.133125, 0.005291, 0.819423, 25.1607
108, 0.127234, 0.005279, 0.824702, 24.1018
115, 0.135481, 0.005281, 0.829983, 25.6544
